Name;SMILES
CCc1ccc(Nc2nc(NCC(=O)Nc3ccc(OC)c(Cl)c3)nc(Nc3ccc(CC)cc3)n2)cc1;CCc1ccc(Nc2nc(NCC(=O)Nc3ccc(OC)c(Cl)c3)nc(Nc3ccc(CC)cc3)n2)cc1
COc1ccc(NC(=O)Nc2nn(Cc3ccc(Cl)cc3Cl)cc2Br)cc1OC;COc1ccc(NC(=O)Nc2nn(Cc3ccc(Cl)cc3Cl)cc2Br)cc1OC
COc1ccc(NC(=O)Nc2ccn(CCC(N)=O)n2)cc1-n1nnnc1C;COc1ccc(NC(=O)Nc2ccn(CCC(N)=O)n2)cc1-n1nnnc1C
CCOc1ccc(NC(=O)Nc2nnc(COc3ccc(Cl)cc3C)s2)cc1;CCOc1ccc(NC(=O)Nc2nnc(COc3ccc(Cl)cc3C)s2)cc1
;
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12;CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12
COc1c(O)cc(CC2(O)Oc3cc(O)cc(O)c3C2=O)cc1O;COc1c(O)cc(CC2(O)Oc3cc(O)cc(O)c3C2=O)cc1O
COc1c(O)cc(CC2(O)Oc3cc(O)cc(O)c3C2=O)cc1O;COc1c(O)cc(CC2(O)Oc3cc(O)cc(O)c3C2=O)cc1O
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12;CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12;CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12;CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12;CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12
O=C(Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1)Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1;O=C(Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1)Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
;
COc1ccc(NC(=O)Nc2nnc(-c3ccccc3SCc3ccc(F)cc3)s2)cc1;COc1ccc(NC(=O)Nc2nnc(-c3ccccc3SCc3ccc(F)cc3)s2)cc1
CCCCOc1ccc(C(=O)NC(=S)Nc2ccccc2-c2nc3ccccc3s2)cc1;CCCCOc1ccc(C(=O)NC(=S)Nc2ccccc2-c2nc3ccccc3s2)cc1
CCOc1ccc(NC(=O)Nc2nnc(Cc3ccc(Cl)cc3Cl)s2)cc1;CCOc1ccc(NC(=O)Nc2nnc(Cc3ccc(Cl)cc3Cl)s2)cc1
O=C(Nc1ccc(OCc2ccccc2)cc1)Nc1ncccc1OCc1ccccc1;O=C(Nc1ccc(OCc2ccccc2)cc1)Nc1ncccc1OCc1ccccc1
COc1ccc(NC(=O)NC(c2ccccc2)c2nnc(-c3ccc(Cl)cc3)o2)c(OC)c1;COc1ccc(NC(=O)NC(c2ccccc2)c2nnc(-c3ccc(Cl)cc3)o2)c(OC)c1
CCOc1ccc(NC(=O)Nc2nnc(-c3ccc(Cl)c(Cl)c3)s2)cc1;CCOc1ccc(NC(=O)Nc2nnc(-c3ccc(Cl)c(Cl)c3)s2)cc1
CC(=O)c1cccc(NC(=O)Nc2nc3ccccc3n2Cc2ccccc2)c1;CC(=O)c1cccc(NC(=O)Nc2nc3ccccc3n2Cc2ccccc2)c1
COc1ccccc1NC(=O)Nc1ccc(-c2nc3ccc(C)cc3s2)cc1;COc1ccccc1NC(=O)Nc1ccc(-c2nc3ccc(C)cc3s2)cc1
CCOC(=O)c1ccc(NC(=O)NC(c2ccccc2)c2nnc(-c3ccc(Cl)cc3)o2)cc1;CCOC(=O)c1ccc(NC(=O)NC(c2ccccc2)c2nnc(-c3ccc(Cl)cc3)o2)cc1
COc1ccc(NC(=O)Nc2nnc(-c3ccccc3SCc3ccccc3)s2)cc1;COc1ccc(NC(=O)Nc2nnc(-c3ccccc3SCc3ccccc3)s2)cc1
Oc1ccc(/N=N/c2ccc(Cl)cc2Cl)cc1/C=N/Nc1n/c(=N/c2ccccc2)nc(N2CCCC2)[nH]1;Oc1ccc(/N=N/c2ccc(Cl)cc2Cl)cc1/C=N/Nc1n/c(=N/c2ccccc2)nc(N2CCCC2)[nH]1
O=C(NC(=S)Nc1ccc(Cl)cc1-c1nc2ccccc2s1)c1ccc2c(c1)OCO2;O=C(NC(=S)Nc1ccc(Cl)cc1-c1nc2ccccc2s1)c1ccc2c(c1)OCO2
CCc1ccc(Nc2nc(NCC(=O)Nc3ccc(OC)c(Cl)c3)nc(Nc3ccc(CC)cc3)n2)cc1;CCc1ccc(Nc2nc(NCC(=O)Nc3ccc(OC)c(Cl)c3)nc(Nc3ccc(CC)cc3)n2)cc1
